ZIP_CODE,city_name,city_code,STATE,state_code,county_name,state_county_fips_code,cbsa_name,cbsa_code
57401,Aberdeen,9,SD,42,Brown County,46013,"aberdeen, sd micro area",10100
57402,Aberdeen,9,SD,42,Brown County,46013,"aberdeen, sd micro area",10100
57426,Barnard,880,SD,42,Brown County,46013,"aberdeen, sd micro area",10100
57427,Bath,946,SD,42,Brown County,46013,"aberdeen, sd micro area",10100
57428,Bowdle,1747,SD,42,Edmunds County,46045,"aberdeen, sd micro area",10100
57432,Claremont,3170,SD,42,Brown County,46013,"aberdeen, sd micro area",10100
57433,Columbia,3458,SD,42,Brown County,46013,"aberdeen, sd micro area",10100
57439,Ferney,5587,SD,42,Brown County,46013,"aberdeen, sd micro area",10100
57441,Frederick,6030,SD,42,Brown County,46013,"aberdeen, sd micro area",10100
57445,Groton,6877,SD,42,Brown County,46013,"aberdeen, sd micro area",10100
57446,Hecla,7328,SD,42,Brown County,46013,"aberdeen, sd micro area",10100
57448,Hosmer,7803,SD,42,Edmunds County,46045,"aberdeen, sd micro area",10100
57449,Houghton,7814,SD,42,Brown County,46013,"aberdeen, sd micro area",10100
57451,Ipswich,8084,SD,42,Edmunds County,46045,"aberdeen, sd micro area",10100
57460,Mansfield,10291,SD,42,Brown County,46013,"aberdeen, sd micro area",10100
57471,Roscoe,14827,SD,42,Edmunds County,46045,"aberdeen, sd micro area",10100
57474,Stratford,16662,SD,42,Brown County,46013,"aberdeen, sd micro area",10100
57479,Warner,18213,SD,42,Brown County,46013,"aberdeen, sd micro area",10100
57481,Westport,18681,SD,42,Brown County,46013,"aberdeen, sd micro area",10100
98520,Aberdeen,9,WA,48,Grays Harbor County,53027,"aberdeen, wa micro area",10140
98526,Amanda Park,306,WA,48,Grays Harbor County,53027,"aberdeen, wa micro area",10140
98535,Copalis Beach,3587,WA,48,Grays Harbor County,53027,"aberdeen, wa micro area",10140
98536,Copalis Crossing,24735,WA,48,Grays Harbor County,53027,"aberdeen, wa micro area",10140
98537,Cosmopolis,3675,WA,48,Grays Harbor County,53027,"aberdeen, wa micro area",10140
98541,Elma,5145,WA,48,Grays Harbor County,53027,"aberdeen, wa micro area",10140
98547,Grayland,6732,WA,48,Grays Harbor County,53027,"aberdeen, wa micro area",10140
98550,Hoquiam,7767,WA,48,Grays Harbor County,53027,"aberdeen, wa micro area",10140
98552,Humptulips,7887,WA,48,Grays Harbor County,53027,"aberdeen, wa micro area",10140
98557,Mccleary,10610,WA,48,Grays Harbor County,53027,"aberdeen, wa micro area",10140
98559,Malone,10220,WA,48,Grays Harbor County,53027,"aberdeen, wa micro area",10140
98562,Moclips,11174,WA,48,Grays Harbor County,53027,"aberdeen, wa micro area",10140
98563,Montesano,11263,WA,48,Grays Harbor County,53027,"aberdeen, wa micro area",10140
98566,Neilton,11769,WA,48,Grays Harbor County,53027,"aberdeen, wa micro area",10140
98568,Oakville,12515,WA,48,Grays Harbor County,53027,"aberdeen, wa micro area",10140
98569,Ocean Shores,12545,WA,48,Grays Harbor County,53027,"aberdeen, wa micro area",10140
98571,Pacific Beach,12962,WA,48,Grays Harbor County,53027,"aberdeen, wa micro area",10140
98575,Quinault,24738,WA,48,Grays Harbor County,53027,"aberdeen, wa micro area",10140
98583,Satsop,15293,WA,48,Grays Harbor County,53027,"aberdeen, wa micro area",10140
98587,Taholah,16937,WA,48,Grays Harbor County,53027,"aberdeen, wa micro area",10140
98595,Westport,18681,WA,48,Grays Harbor County,53027,"aberdeen, wa micro area",10140
76443,Cross Plains,3858,TX,44,Callahan County,48059,"abilene, tx metro area",10180
76469,Putnam,14112,TX,44,Callahan County,48059,"abilene, tx metro area",10180
79501,Anson,417,TX,44,Jones County,48253,"abilene, tx metro area",10180
79503,Avoca,730,TX,44,Jones County,48253,"abilene, tx metro area",10180
79504,Baird,785,TX,44,Callahan County,48059,"abilene, tx metro area",10180
79508,Buffalo Gap,2142,TX,44,Taylor County,48441,"abilene, tx metro area",10180
79510,Clyde,3303,TX,44,Callahan County,48059,"abilene, tx metro area",10180
79520,Hamlin,7047,TX,44,Jones County,48253,"abilene, tx metro area",10180
79525,Hawley,7263,TX,44,Jones County,48253,"abilene, tx metro area",10180
79530,Lawn,9397,TX,44,Taylor County,48441,"abilene, tx metro area",10180
79533,Lueders,10037,TX,44,Jones County,48253,"abilene, tx metro area",10180
79536,Merkel,10851,TX,44,Taylor County,48441,"abilene, tx metro area",10180
79541,Ovalo,20675,TX,44,Taylor County,48441,"abilene, tx metro area",10180
79553,Stamford,16463,TX,44,Jones County,48253,"abilene, tx metro area",10180
79561,Trent,17445,TX,44,Taylor County,48441,"abilene, tx metro area",10180
79562,Tuscola,17580,TX,44,Taylor County,48441,"abilene, tx metro area",10180
79563,Tye,17621,TX,44,Taylor County,48441,"abilene, tx metro area",10180
79566,Wingate,18980,TX,44,Taylor County,48441,"abilene, tx metro area",10180
79601,Abilene,15,TX,44,Taylor County,48441,"abilene, tx metro area",10180
79602,Abilene,15,TX,44,Taylor County,48441,"abilene, tx metro area",10180
79603,Abilene,15,TX,44,Taylor County,48441,"abilene, tx metro area",10180
79604,Abilene,15,TX,44,Taylor County,48441,"abilene, tx metro area",10180
79605,Abilene,15,TX,44,Taylor County,48441,"abilene, tx metro area",10180
79606,Abilene,15,TX,44,Taylor County,48441,"abilene, tx metro area",10180
79607,Dyess Afb,24319,TX,44,Taylor County,48441,"abilene, tx metro area",10180
79608,Abilene,15,TX,44,Taylor County,48441,"abilene, tx metro area",10180
79697,Abilene,15,TX,44,Taylor County,48441,"abilene, tx metro area",10180
79698,Abilene,15,TX,44,Taylor County,48441,"abilene, tx metro area",10180
79699,Abilene,15,TX,44,Taylor County,48441,"abilene, tx metro area",10180
74820,Ada,45,OK,37,Pontotoc County,40123,"ada, ok micro area",10220
74821,Ada,45,OK,37,Pontotoc County,40123,"ada, ok micro area",10220
74825,Allen,217,OK,37,Pontotoc County,40123,"ada, ok micro area",10220
74842,Fittstown,24145,OK,37,Pontotoc County,40123,"ada, ok micro area",10220
74843,Fitzhugh,5662,OK,37,Pontotoc County,40123,"ada, ok micro area",10220
74844,Francis,5993,OK,37,Pontotoc County,40123,"ada, ok micro area",10220
74865,Roff,14772,OK,37,Pontotoc County,40123,"ada, ok micro area",10220
74871,Stonewall,16618,OK,37,Pontotoc County,40123,"ada, ok micro area",10220
49220,Addison,59,MI,23,Lenawee County,26091,"adrian, mi micro area",10300
49221,Adrian,73,MI,23,Lenawee County,26091,"adrian, mi micro area",10300
49228,Blissfield,1527,MI,23,Lenawee County,26091,"adrian, mi micro area",10300
49229,Britton,1949,MI,23,Lenawee County,26091,"adrian, mi micro area",10300
49235,Clayton,3224,MI,23,Lenawee County,26091,"adrian, mi micro area",10300
49236,Clinton,3279,MI,23,Lenawee County,26091,"adrian, mi micro area",10300
49238,Deerfield,4168,MI,23,Lenawee County,26091,"adrian, mi micro area",10300
49247,Hudson,7853,MI,23,Lenawee County,26091,"adrian, mi micro area",10300
49248,Jasper,8217,MI,23,Lenawee County,26091,"adrian, mi micro area",10300
49253,Manitou Beach,21181,MI,23,Lenawee County,26091,"adrian, mi micro area",10300
49256,Morenci,11342,MI,23,Lenawee County,26091,"adrian, mi micro area",10300
49265,Onsted,12738,MI,23,Lenawee County,26091,"adrian, mi micro area",10300
49268,Palmyra,13041,MI,23,Lenawee County,26091,"adrian, mi micro area",10300
49276,Riga,23507,MI,23,Lenawee County,26091,"adrian, mi micro area",10300
49279,Sand Creek,23509,MI,23,Lenawee County,26091,"adrian, mi micro area",10300
49286,Tecumseh,17054,MI,23,Lenawee County,26091,"adrian, mi micro area",10300
49287,Tipton,17297,MI,23,Lenawee County,26091,"adrian, mi micro area",10300
49289,Weston,18675,MI,23,Lenawee County,26091,"adrian, mi micro area",10300
